date_key,day,month,year,quarter,weekday
2022-01-03,3,1,2022,1,Monday
2022-01-04,4,1,2022,1,Tuesday
2022-01-05,5,1,2022,1,Wednesday
2022-01-06,6,1,2022,1,Thursday
2022-01-07,7,1,2022,1,Friday
2022-01-08,8,1,2022,1,Saturday
2022-01-09,9,1,2022,1,Sunday
2022-01-10,10,1,2022,1,Monday
2022-01-11,11,1,2022,1,Tuesday
2022-01-12,12,1,2022,1,Wednesday
2022-01-13,13,1,2022,1,Thursday
2022-01-14,14,1,2022,1,Friday
2022-01-15,15,1,2022,1,Saturday
2022-01-16,16,1,2022,1,Sunday
2022-01-17,17,1,2022,1,Monday
2022-01-18,18,1,2022,1,Tuesday
2022-01-19,19,1,2022,1,Wednesday
2022-01-20,20,1,2022,1,Thursday
2022-01-21,21,1,2022,1,Friday
2022-01-22,22,1,2022,1,Saturday
2022-01-23,23,1,2022,1,Sunday
2022-01-24,24,1,2022,1,Monday
2022-01-25,25,1,2022,1,Tuesday
2022-01-26,26,1,2022,1,Wednesday
2022-01-27,27,1,2022,1,Thursday
2022-01-28,28,1,2022,1,Friday
2022-01-29,29,1,2022,1,Saturday
2022-01-30,30,1,2022,1,Sunday
2022-01-31,31,1,2022,1,Monday
2022-02-01,1,2,2022,1,Tuesday
2022-02-02,2,2,2022,1,Wednesday
2022-02-03,3,2,2022,1,Thursday
2022-02-04,4,2,2022,1,Friday
2022-02-05,5,2,2022,1,Saturday
2022-02-06,6,2,2022,1,Sunday
2022-02-07,7,2,2022,1,Monday
2022-02-08,8,2,2022,1,Tuesday
2022-02-09,9,2,2022,1,Wednesday
2022-02-10,10,2,2022,1,Thursday
2022-02-11,11,2,2022,1,Friday
2022-02-12,12,2,2022,1,Saturday
2022-02-13,13,2,2022,1,Sunday
2022-02-14,14,2,2022,1,Monday
2022-02-15,15,2,2022,1,Tuesday
2022-02-16,16,2,2022,1,Wednesday
2022-02-17,17,2,2022,1,Thursday
2022-02-18,18,2,2022,1,Friday
2022-02-19,19,2,2022,1,Saturday
2022-02-20,20,2,2022,1,Sunday
2022-02-21,21,2,2022,1,Monday
2022-02-22,22,2,2022,1,Tuesday
2022-02-23,23,2,2022,1,Wednesday
2022-02-24,24,2,2022,1,Thursday
2022-02-25,25,2,2022,1,Friday
2022-02-26,26,2,2022,1,Saturday
2022-02-27,27,2,2022,1,Sunday
2022-02-28,28,2,2022,1,Monday
2022-03-01,1,3,2022,1,Tuesday
2022-03-02,2,3,2022,1,Wednesday
2022-03-03,3,3,2022,1,Thursday
2022-03-04,4,3,2022,1,Friday
2022-03-05,5,3,2022,1,Saturday
2022-03-06,6,3,2022,1,Sunday
2022-03-07,7,3,2022,1,Monday
2022-03-08,8,3,2022,1,Tuesday
2022-03-09,9,3,2022,1,Wednesday
2022-03-10,10,3,2022,1,Thursday
2022-03-11,11,3,2022,1,Friday
2022-03-12,12,3,2022,1,Saturday
2022-03-13,13,3,2022,1,Sunday
2022-03-14,14,3,2022,1,Monday
2022-03-15,15,3,2022,1,Tuesday
