scheme_code,95_VaR,95_CVaR
100016,-0.012883548931908694,-0.016768321461436163
100025,-0.003337613149587215,-0.004580656507363616
100033,-0.01690162517076692,-0.021849843397164257
101206,-0.012173429806863612,-0.01607512058946511
101207,-0.02391462085614526,-0.03028853855689586
101208,-0.00021844467202030148,-0.000370888261084244
102885,-0.011047180236723242,-0.014381301038700015
102886,-0.016857052171303167,-0.021770633821071875
102887,-0.013743344236293054,-0.017963512958246098
118632,-0.012333469077205582,-0.01632772507032638
118633,-0.01206568147523046,-0.015542096862478809
118634,-0.022809809042508043,-0.029939618949017758
118635,-0.01103346672270995,-0.014938288639839212
118636,-0.0033443895621997673,-0.004540687118852717
119092,-0.012692876487327587,-0.016166151944503535
119093,-0.01258785333198682,-0.016331690102985692
119094,-0.016996541912790986,-0.022374528784811144
119095,-0.02328360266362247,-0.029690039727417208
119120,-0.003428846226904114,-0.004618214851480345
119551,-0.011826841635318986,-0.015229577496502082
119552,-0.012129038937142643,-0.016078207856022268
119598,-0.021501921496768977,-0.028444271406010864
119599,-0.02315543346345327,-0.03016285854549343
120503,-0.012133236715948303,-0.016099692653253457
120504,-0.012531255294818832,-0.016225606809666344
120505,-0.016224087303417265,-0.022363198028897975
120506,-0.013005352264566304,-0.017792496196296158
120507,-0.00019572938739494946,-0.00032535262562039257
120841,-0.011724966759344823,-0.015248574925611377
120842,-0.016949938922196216,-0.021250687949172356
120843,-0.013327485173211561,-0.01711410215389912
120844,-0.0002038147642592136,-0.0003620891285341904
125497,-0.01250186045702889,-0.01696448520682221
125498,-0.01676236356598184,-0.021483832175150833
148567,-0.012607396741943243,-0.016343197522742478
148568,-0.01331269515511313,-0.017383918582139044
148569,-0.015259046371143082,-0.019851510510311667
149322,-0.012955446642516754,-0.016995172112929818
149323,-0.015865984799217414,-0.0209026576862566
149324,-0.02152030425318905,-0.02857253167644592
